zipcode,centile,superzip,rank,city.x,state.x,adultpop,households,college,income,latitude,longitude,city.y,state.y,county
05495,85.38397,0,2161,Williston,VT,5685,2318,43.06069,88.263,44.4288512889697,-73.0353860963738,Williston,VT,Chittenden
50321,85.40459,0,2158,Des Moines,IA,4649,1912,37.38438,98.13145,41.5460589186472,-93.6702435661987,Des Moines,IA,Polk
21770,85.40965,0,2155,Monrovia,MD,3421,1424,32.47588,106.6021,39.3513188056609,-77.2819938884601,Monrovia,MD,Frederick
02879,85.41409,0,2154,Wakefield,RI,12764,5037,43.74021,87.21692,41.4440389966518,-71.5204041168508,Wakefield,RI,Washington
75081,85.517,0,2138,Richardson,TX,21735,8871,42.39245,89.82951,32.9485483884608,-96.7204991175568,Richardson,TX,Dallas
08530,85.54915,0,2133,Lambertville,NJ,5608,1733,34.05849,104.3282,40.3789125940107,-74.9196495530101,Lambertville,NJ,Hunterdon
20645,85.56288,0,,Issue,MD,328,156,39.93903,94.29758,38.2967950094371,-76.8856102542447,Issue,MD,Charles
87047,85.6001,0,2125,Sandia Park,NM,2280,989,43.42105,88.40684,35.1523502925391,-106.305442146369,Sandia Park,NM,Bernalillo
60430,85.6288,0,2120,Homewood,IL,14296,5697,40.9695,92.75591,41.812646226129,-87.6785697198023,Homewood,IL,Cook
32832,85.65401,0,2117,Orlando,FL,1366,539,33.45535,105.7482,28.3907338930687,-81.1608209765306,Orlando,FL,Orange
80504,85.65598,0,2116,Longmont,CO,5783,2526,36.00208,101.3704,40.1312237054825,-104.986552979712,Longmont,CO,Weld
34202,85.68297,0,2112,Bradenton,FL,10507,4693,38.77415,96.67087,27.4713782927648,-82.3690691600797,Bradenton,FL,Manatee
02871,85.70366,0,2109,Portsmouth,RI,12040,4866,42.89037,89.67129,41.5855962443813,-71.274703809894,Portsmouth,RI,Newport
33433,85.71587,0,2108,Boca Raton,FL,32445,11368,40.75821,93.35218,26.3505283126242,-80.1561830628956,Boca Raton,FL,Palm Beach
22746,85.73346,0,,Viewtown,VA,215,103,33.48837,105.9012,38.6480731995692,-78.0266418397358,Viewtown,VA,Rappahannock
85737,85.7524,0,2103,Tucson,AZ,22382,9485,43.8254,88.1597,32.4365767565874,-110.967424044084,Tucson,AZ,Pima
75087,85.77743,0,2099,Rockwall,TX,10854,4765,38.76912,97.01346,32.897008773598,-96.4122977181292,Rockwall,TX,Rockwall
55121,85.78179,0,2098,Saint Paul,MN,5025,1850,44.39801,87.33722,44.8214849849154,-93.1604834425747,Saint Paul,MN,Dakota
11715,85.78504,0,2096,Blue Point,NY,3018,1188,37.50829,99.38283,40.7578352779974,-73.0311120254913,Blue Point,NY,Suffolk
78230,85.82564,0,2092,San Antonio,TX,24040,9658,45.02496,86.50036,29.2702663220274,-98.731052724056,San Antonio,TX,Bexar
70809,85.83591,0,2091,Baton Rouge,LA,13383,4867,47.81439,81.71454,30.4296112346433,-91.062757501757,Baton Rouge,LA,East Baton Rouge
08690,85.84761,0,2088,Trenton,NJ,12560,5167,33.53503,106.351,40.2337785413381,-74.6525343590845,Trenton,NJ,Mercer
12457,85.85201,0,2086,Mount Tremper,NY,881,285,44.49489,87.50067,41.8723505737662,-74.1649990456902,Mount Tremper,NY,Ulster
03862,85.86132,0,2083,North Hampton,NH,3073,1232,40.31891,94.801,43.0005692313812,-70.8996055353147,North Hampton,NH,Rockingham
05494,85.87202,0,2081,Westford,VT,1185,492,44.13502,88.263,44.5715460556551,-73.0160499187995,Westford,VT,Chittenden
20003,85.87703,0,2080,Washington,DC,17064,4082,49.39053,79.24841,38.8621954341704,-76.9779911362921,Washington,DC,District Of Columbia
55122,85.95709,0,2072,Saint Paul,MN,18625,7286,41.67517,92.74545,44.7849016352499,-93.2151024622786,Saint Paul,MN,Dakota
46321,85.96634,0,2071,Munster,IN,15068,6170,39.15583,97.09584,41.5523735410765,-87.5163822812355,Munster,IN,Lake
92518,85.9707,0,2070,March ARB,CA,760,307,42.89474,90.67552,33.7519029995939,-116.061471496155,March Air Force Base,CA,Riverside
39047,85.97549,0,2069,Brandon,MS,16779,7341,43.5604,89.53137,32.388931465996,-89.9700692413678,Brandon,MS,Rankin
02535,85.99239,0,2064,Chilmark,MA,879,322,53.24232,72.92355,41.37805385412,-70.674957666501,Chilmark,MA,Dukes
64082,85.9989,0,2062,Lees Summit,MO,3718,1696,39.96772,95.86147,38.8647365277288,-94.4004408253595,Lees Summit,MO,Jackson
07764,86.01217,0,2059,West Long Branch,NJ,4722,1835,34.87929,104.7741,40.2844138501064,-74.0301625551902,West Long Branch,NJ,Monmouth
06093,86.02212,0,2057,West Suffield,CT,2137,900,34.95555,104.7178,42.0049137744374,-72.7300843396529,West Suffield,CT,Hartford
87111,86.06912,0,2051,Albuquerque,NM,38720,15124,45.34866,86.89263,35.0723128590734,-106.453461594946,Albuquerque,NM,Bernalillo
27455,86.10466,0,2048,Greensboro,NC,15493,6166,45.54315,86.57358,36.1813074445093,-79.7919158450406,Greensboro,NC,Guilford
27609,86.13615,0,2044,Raleigh,NC,22754,8380,48.31238,81.88061,35.8410367396803,-78.6219452549548,Raleigh,NC,Wake
27540,86.14455,0,2043,Holly Springs,NC,7829,3473,42.90459,91.20118,35.6088442949511,-78.8361856592787,Holly Springs,NC,Wake
77584,86.15656,0,2041,Pearland,TX,19543,8521,39.68173,96.80555,29.5400683975938,-95.3303869140909,Pearland,TX,Brazoria
01240,86.17705,0,2038,Lenox,MA,3961,1326,49.55819,79.87736,42.4605013891155,-73.2264828309799,Lenox,MA,Berkshire
48840,86.18032,0,2037,Haslett,MI,7970,3126,45.68381,86.59189,42.7511745409677,-84.3964799562159,Haslett,MI,Ingham
92109,86.19637,0,2034,San Diego,CA,33420,7709,50.80491,77.87151,32.7958400593021,-117.25899082468,San Diego,CA,San Diego
43021,86.20659,0,2033,Galena,OH,3826,1718,38.08155,99.87841,40.2006681425516,-82.8718676187397,Galena,OH,Delaware
12084,86.22942,0,2031,Guilderland,NY,3293,1052,47.8591,83.07052,42.7035997679631,-73.9509039956713,Guilderland,NY,Albany
20872,86.25358,0,2027,Damascus,MD,7290,3270,40.89163,95.17236,39.2867585251257,-77.2020549586418,Damascus,MD,Montgomery
92103,86.29598,0,2020,San Diego,CA,25183,4931,49.32693,80.73253,32.744668628797,-117.154331210566,San Diego,CA,San Diego
12844,86.31131,0,,Kattskill Bay,NY,250,88,41.2,94.801,43.4757980528789,-73.6121022333135,Kattskill Bay,NY,Warren
36117,86.39408,0,2005,Montgomery,AL,24585,9751,45.75961,87.23784,32.3686633427567,-86.1133235572469,Montgomery,AL,Montgomery
79834,86.41436,0,,Big Bend National Park,TX,69,26,59.42029,63.7455,29.8182262250589,-103.042773305014,Big Bend National Park,TX,Brewster
08829,86.41508,0,2002,High Bridge,NJ,2541,1060,38.88233,99.188,40.6696268431938,-74.8922219161756,High Bridge,NJ,Hunterdon
91914,86.43175,0,1999,Chula Vista,CA,1693,793,43.41406,91.43916,32.6581531248149,-116.964293931106,Chula Vista,CA,San Diego
60607,86.46661,0,1994,Chicago,IL,10676,3018,52.2293,76.29715,41.9282527483645,-87.823995338771,Chicago,IL,Cook
80470,86.47019,0,1993,Pine,CO,2359,953,40.22891,97.04877,39.3552862202857,-105.32967361624,Pine,CO,Jefferson
95132,86.51703,0,1987,San Jose,CA,26986,9759,33.50256,108.7505,37.4337269861993,-121.828514876568,San Jose,CA,Santa Clara
80220,86.55669,0,1984,Denver,CO,25383,7936,48.56006,82.87307,39.7333714085336,-104.905793736919,Denver,CO,Denver
10519,86.56368,0,,Croton Falls,NY,94,33,40.42553,96.90231,41.3470763362004,-73.6649229531079,Croton Falls,NY,Westchester
10532,86.56503,0,1983,Hawthorne,NY,4817,1376,27.98422,118.3626,41.0123304419093,-73.8192264758497,Hawthorne,NY,Westchester
21403,86.57226,0,1982,Annapolis,MD,21509,7665,44.1815,90.46761,39.0076445543007,-76.5998026441484,Annapolis,MD,Anne Arundel
94938,86.57894,0,1980,Lagunitas,CA,591,202,38.57868,100.1818,38.0233262959724,-122.695079454854,Lagunitas,CA,Marin
98019,86.58855,0,1978,Duvall,WA,5229,2300,37.61714,101.8869,47.7333172651419,-121.934389428162,Duvall,WA,King
